Name,Source
William P. McLean,P241: military branch - Confederate States of America army
William Paul Roberts,P241: military branch - Confederate States of America army
William Pegram,P241: military branch - Confederate States of America army
William Penn Adair,P241: military branch - Confederate States of America army
William Polk Hardeman,P241: military branch - Confederate States of America army
William Porcher DuBose,P241: military branch - Confederate States of America army
William Porcher Miles,P241: military branch - Confederate States of America army
William Preston,P241: military branch - Confederate States of America army
William Preston Johnston,P241: military branch - Confederate States of America army
William Quantrill,P241: military branch - Confederate States of America army
William R. Peck,P241: military branch - Confederate States of America army
William Read Scurry,P241: military branch - Confederate States of America army
William Robert MacDermott,P241: military branch - Confederate States of America army
William S. Baylor,P241: military branch - Confederate States of America army
William S. Herndon,P241: military branch - Confederate States of America army
William Shepperd Ashe,P241: military branch - Confederate States of America army
William Starr Basinger,P241: military branch - Confederate States of America army
William Steele,P241: military branch - Confederate States of America army
William Stephen Walker,P241: military branch - Confederate States of America army
William Stewart Simkins,P241: military branch - Confederate States of America army
William T. Poague,P241: military branch - Confederate States of America army
William T. Sutherlin,P241: military branch - Confederate States of America army
William Taylor Sullivan Barry,P241: military branch - Confederate States of America army
William Truslow Newman,P241: military branch - Confederate States of America army
William W. Allen,P241: military branch - Confederate States of America army
William W. Chamberlaine,P241: military branch - Confederate States of America army
William W. Paine,P241: military branch - Confederate States of America army
William Walter Leake,P241: military branch - Confederate States of America army
William Washington Gordon II,P241: military branch - Confederate States of America army
William Watson,P241: military branch - Confederate States of America army
William Wood Porter,P241: military branch - Confederate States of America army
William Y. Slack,P241: military branch - Confederate States of America army
William Y.C. Humes,P241: military branch - Confederate States of America army
Williams Carter Wickham,P241: military branch - Confederate States of America army
Willis J. Dance,P241: military branch - Confederate States of America army
Wilmot Gibbes de Saussure,P241: military branch - Confederate States of America army
Xavier Debray,P241: military branch - Confederate States of America army
Young Marshall Moody,P241: military branch - Confederate States of America army
Zachariah Cantey Deas,P241: military branch - Confederate States of America army
Zebulon Baird Vance,P241: military branch - Confederate States of America army
Zebulon York,P241: military branch - Confederate States of America army
Braxton Bragg,P241: military branch - Confederate States of America army
Thomas Bragg,"P39: position held - Confederate States of America secretary of treasury, war, or state"
Judah Philip Benjamin,"P39: position held - Confederate States of America secretary of treasury, war, or state"
Robert Augustus Toombs,"P39: position held - Confederate States of America secretary of treasury, war, or state"
William Montague Browne,"P39: position held - Confederate States of America secretary of treasury, war, or state"
John Cabell Breckinridge,"P39: position held - Confederate States of America secretary of treasury, war, or state"
George Wythe Randolph,"P39: position held - Confederate States of America secretary of treasury, war, or state"
Stephen Russell Mallory,"P39: position held - Confederate States of America secretary of treasury, war, or state"
George Davis,"P39: position held - Confederate States of America secretary of treasury, war, or state"
James Alexander Seddon,"P39: position held - Confederate States of America secretary of treasury, war, or state"
LeRoy Pope Walker,"P39: position held - Confederate States of America secretary of treasury, war, or state"
Albert Rust,P945: allegiance - Confederate States of America
Alexander P. Stewart,P945: allegiance - Confederate States of America
Alfred Cumming,P945: allegiance - Confederate States of America
Allen Thomas,P945: allegiance - Confederate States of America
Alpheus Baker,P945: allegiance - Confederate States of America
Ambrose Powell Hill,P945: allegiance - Confederate States of America
Ambrosio José Gonzales,P945: allegiance - Confederate States of America
Archibald S. Dobbins,P945: allegiance - Confederate States of America
Basil W. Duke,P945: allegiance - Confederate States of America
Benjamin Anderson,P945: allegiance - Confederate States of America
Benjamin Hardin Helm,P945: allegiance - Confederate States of America
Benjamin J. Hill,P945: allegiance - Confederate States of America
Beverley Randolph Mason,P945: allegiance - Confederate States of America
Calvin D. Venable,P945: allegiance - Confederate States of America
Camille de Polignac,P945: allegiance - Confederate States of America
Carl Jacob Hammarsköld,P945: allegiance - Confederate States of America
Charles Browne Fleet,P945: allegiance - Confederate States of America
Charles W. Phifer,P945: allegiance - Confederate States of America
Cullen A. Battle,P945: allegiance - Confederate States of America
Dandridge McRae,P945: allegiance - Confederate States of America
Daniel Weisiger Adams,P945: allegiance - Confederate States of America
Edwin Francis Jemison,P945: allegiance - Confederate States of America
George Wayne Anderson,P945: allegiance - Confederate States of America
Gilbert S. Meem,P945: allegiance - Confederate States of America
Glenn Reynolds,P945: allegiance - Confederate States of America
Harris Flanagin,P945: allegiance - Confederate States of America
Henry Brainerd McClellan,P945: allegiance - Confederate States of America
Henry Kyd Douglas,P945: allegiance - Confederate States of America
Henry Washington Hilliard,P945: allegiance - Confederate States of America
Isham Warren Garrott,P945: allegiance - Confederate States of America
J. E. B. Stuart,P945: allegiance - Confederate States of America
J. William Jones,P945: allegiance - Confederate States of America
James Conner,P945: allegiance - Confederate States of America
,P945: allegiance - Confederate States of America
James D. Richardson,P945: allegiance - Confederate States of America
James Dunwoody Bulloch,P945: allegiance - Confederate States of America
James E. Harrison,P945: allegiance - Confederate States of America
James Ewell Brown “J.E.B.” Stuart,P945: allegiance - Confederate States of America
James H. McBride,P945: allegiance - Confederate States of America
James Hagan,P945: allegiance - Confederate States of America
James Harvey Carson,P945: allegiance - Confederate States of America
Jeptha Vining Harris,P945: allegiance - Confederate States of America
John Bell Hood,P945: allegiance - Confederate States of America
John C. Brown,P945: allegiance - Confederate States of America
John C. C. Sanders,P945: allegiance - Confederate States of America
John Carpenter Carter,P945: allegiance - Confederate States of America
John D. Barry,P945: allegiance - Confederate States of America
John D. Imboden,P945: allegiance - Confederate States of America
John David McAdoo,P945: allegiance - Confederate States of America
John Hanson McNeill,P945: allegiance - Confederate States of America
John Hunt Morgan,P945: allegiance - Confederate States of America
John McCausland,P945: allegiance - Confederate States of America
John S. Preston,P945: allegiance - Confederate States of America
Joseph Finegan,P945: allegiance - Confederate States of America
Joseph L. Hogg,P945: allegiance - Confederate States of America
Joseph Lancaster Brent,P945: allegiance - Confederate States of America
Jubal Early,P945: allegiance - Confederate States of America
Leon Jastremski,P945: allegiance - Confederate States of America
Lola Sánchez,P945: allegiance - Confederate States of America
Lucius E. Polk,P945: allegiance - Confederate States of America
M. Jeff Thompson,P945: allegiance - Confederate States of America
Marcus Joseph Wright,P945: allegiance - Confederate States of America
Mathew Ector,P945: allegiance - Confederate States of America
Max Corput,P945: allegiance - Confederate States of America
Montgomery Dent Corse,P945: allegiance - Confederate States of America
Mosby Monroe Parsons,P945: allegiance - Confederate States of America
Moses Wright Hannon,P945: allegiance - Confederate States of America
Munson Rufus Hill,P945: allegiance - Confederate States of America
Nathaniel H. Harris,P945: allegiance - Confederate States of America
Otho F. Strahl,P945: allegiance - Confederate States of America
Peter Fayssoux Stevens,P945: allegiance - Confederate States of America
Philip Cook,P945: allegiance - Confederate States of America
Preston Smith,P945: allegiance - Confederate States of America
Raleigh E. Colston,P945: allegiance - Confederate States of America
Randall L. Gibson,P945: allegiance - Confederate States of America
Read Fletcher,P945: allegiance - Confederate States of America
Reuben Lindsay Walker,P945: allegiance - Confederate States of America
Rice E. Graves,P945: allegiance - Confederate States of America
Richard H. Anderson,P945: allegiance - Confederate States of America
Richard Montgomery Gano,P945: allegiance - Confederate States of America
Richard Taylor,P945: allegiance - Confederate States of America
Robert C. Tyler,P945: allegiance - Confederate States of America
Robert D. Lilley,P945: allegiance - Confederate States of America
Robert V. Richardson,P945: allegiance - Confederate States of America
Roger Hanson,P945: allegiance - Confederate States of America
Samuel Benton,P945: allegiance - Confederate States of America
,P945: allegiance - Confederate States of America
Samuel Jameson Gholson,P945: allegiance - Confederate States of America
Samuel W. Ferguson,P945: allegiance - Confederate States of America
Sandie Pendleton,P945: allegiance - Confederate States of America
Scott Shipp,P945: allegiance - Confederate States of America
Stand Watie,P945: allegiance - Confederate States of America
Stapleton Crutchfield,P945: allegiance - Confederate States of America
"Stephen Elliott, Jr.",P945: allegiance - Confederate States of America
Sterling Price,P945: allegiance - Confederate States of America
Stonewall Jackson,P945: allegiance - Confederate States of America
"Theodore W. Brevard, Jr.",P945: allegiance - Confederate States of America
Thomas Egenton Hogg,P945: allegiance - Confederate States of America
Thomas Harrison,P945: allegiance - Confederate States of America
Thomas James Churchill,P945: allegiance - Confederate States of America
Thomas Jonathan Jackson,P945: allegiance - Confederate States of America
Tyree H. Bell,P945: allegiance - Confederate States of America
Upton Hays,P945: allegiance - Confederate States of America
Van. H. Manning,P945: allegiance - Confederate States of America
Victor Girardey,P945: allegiance - Confederate States of America
Wilburn Hill King,P945: allegiance - Confederate States of America
William Andrew Quarles,P945: allegiance - Confederate States of America
William F. Brantley,P945: allegiance - Confederate States of America
William F. Perry,P945: allegiance - Confederate States of America
William F. Tucker,P945: allegiance - Confederate States of America
William H. Kendrick,P945: allegiance - Confederate States of America
William Henry Harman,P945: allegiance - Confederate States of America
William Hugh Young,P945: allegiance - Confederate States of America
William Norris,P945: allegiance - Confederate States of America
William Ruffin Cox,P945: allegiance - Confederate States of America
William T. Anderson,P945: allegiance - Confederate States of America
William T. Martin,P945: allegiance - Confederate States of America
William W. Allen,P945: allegiance - Confederate States of America
Wilmot Gibbes de Saussure,P945: allegiance - Confederate States of America
Zachariah Cantey Deas,P945: allegiance - Confederate States of America
